id,name,endpointName,startingPrice,description,imagePath,state,winner,category,openClose,maxLimit,dateTime,status,image2,image3,image4,image5,date
55,Seduction_Perfume_In_White,Seduction-Perfume-In-White,49,"Perfume lelaki, Minyak wangi pemikat, (Clearance Stock)",94c51789-7ffa-4062-bfec-16f9c9f52df2e2844913-6f25-4059-98bd-78374ce83e7c.jpg,"Selangor ",,"Perfume ",OPEN,2023-01-31T23:00,,,,,,,
56,In_White_Seduction_Perfume_,In-White-Seduction-Perfume-,99,Perfume pemikat hati,67b3b0a2-46d2-4121-b80a-bc3be2539b675e0d9650-c608-42fa-8709-7810faefd104.jpg,"Selangor ",,"Perfume ",OPEN,2024-01-30T23:46,,,,,,,
57,Try_Bid,Try-Bid,10,"Try bid, ambil pengalaman",b25268a2-8cc3-4b6b-afdd-4bae7251ee2a8b0f7b29-5c9e-43ed-a028-959ccf8d29a3.jpg,Johor,,Trial,OPEN,2023-12-28T00:30,,,,,,,
58,Cuba_bida_Disini!_(Lelongshopmalaysia),Cuba-bida-Disini!-(Lelongshopmalaysia),10,"Pengguna hendaklah mendaftar dahulu sebelum boleh membuat bidaan.

Nombor whatsapp yang di daftarkan mestilah betul untuk memudahkan urusan jual beli.
Pengguna mestilah sanggup membuat pembayaran sekiranya membuat bidaan terhadap barangan tertentu.
Pengguna yang tidak bertanggungjawab akan di ambil tindakan.

Sebarang pertanyaan boleh melalui whatsapp atau
Hubungi kami di ruang contact yang disediakan (hanya kepada pengguna desktop)

Selamat berjual beli di Lelong Shop Malaysia!

",7c2ff3a9-f3ff-4751-9b3c-2af3a25eeff2faea583b-5235-4921-8b04-93a96c03909d.jpg,Selangor,,Example,OPEN,2025-01-01T17:00,,,,,,,
59,Cuba_bida_Disini_(Lelongshopmalaysia),Cuba-bida-Disini-(Lelongshopmalaysia),10,"Pengguna hendaklah mendaftar dahulu sebelum boleh membuat bidaan.

Nombor whatsapp yang di daftarkan mestilah betul untuk memudahkan urusan jual beli.
Pengguna mestilah sanggup membuat pembayaran sekiranya membuat bidaan terhadap barangan tertentu.
Pengguna yang tidak bertanggungjawab akan di ambil tindakan.

Sebarang pertanyaan boleh melalui whatsapp atau
Hubungi kami di ruang contact yang disediakan (hanya kepada pengguna desktop)

Selamat berjual beli di Lelong Shop Malaysia!

",fcbcf7af-1963-40f3-af13-3c208e8113c6a56daab3-9487-4e49-ad4d-d6e0d7c145e7.jpg,Selangor,,Example,OPEN,2025-01-01T17:00,,,,,,,
60,Cuba_bida_Disini,Cuba-bida-Disini,10,"Pengguna hendaklah mendaftar dahulu sebelum boleh membuat bidaan.

Nombor whatsapp yang di daftarkan mestilah betul untuk memudahkan urusan jual beli.
Pengguna mestilah sanggup membuat pembayaran sekiranya membuat bidaan terhadap barangan tertentu.
Pengguna yang tidak bertanggungjawab akan di ambil tindakan.

Sebarang pertanyaan boleh melalui whatsapp atau
Hubungi kami di ruang contact yang disediakan (hanya kepada pengguna desktop)

Selamat berjual beli di Lelong Shop Malaysia!

",ba508018-4c5a-47a5-b9e0-ecd7a49d91a333d6ff99-baeb-4ea1-9010-f93f5f69e753.jpg,Selangor,,Example,OPEN,2025-01-01T17:00,,,,,,,
61,Seduction_Perfume,Seduction-Perfume,55,"Stock lama, beli Rm120",183d702b-d9ac-4611-a4ec-227106e9152fb5a3a0f6-a5bc-4265-a97c-041241a9d49d.jpg,Selangor,,Perfume,OPEN,2025-02-20T18:00,,,,,,,
62,COMBO_SEDUCTION_PERFUME_(EXTREME_X_LEGACY),COMBO-SEDUCTION-PERFUME-(EXTREME-X-LEGACY),99,fdsf,1a9e56b7-3226-488c-89dd-add7dc568e5fa635e473-8757-4fe9-abff-95be1fd4b222.jpg,AB1,,a,OPEN,2023-12-28T11:01,,,,,,,
63,COMBO_SEDUCTION_PERFUME_EXTREME_X_LEGACY,COMBO-SEDUCTION-PERFUME-EXTREME-X-LEGACY,99,"Wangian memikat👍🏻
Wangian lelaki💞

Stock clearance!",7a78043f-7467-4e64-a397-2f36d5beb2f0a5f7be00-3571-44c0-9fb8-1d5e7b616fd9.jpg,Selangor,,Perfume,OPEN,2023-12-28T11:01,,,,,,,
64,fasdf,fasdf,123,fasdf,2f449391-fa57-4019-b591-6cd5cb416349c3a0c352-381b-4213-9d4c-3ce1dd41c0dc.jpg,A,,A,OPEN,2023-12-28T11:01,,,,,,,
65,fasdf asdf asdf asdfa,fasdf-asdf-asdf-asdfa,12,fasdf,5b64031f-3d91-4143-ad03-8b18a12ff20769fab15a-0206-4bd5-a82d-a5aee079f6f3.jpg,A,,A,OPEN,2023-12-28T11:01,,,,,,,
66,Nike_SB_Dunk_Reverse_Papa_Bear,Nike-SB-Dunk-Reverse-Papa-Bear,450,"Condition 9/10 , Size UK9",599f4ed4-9a21-4b29-82c7-2612f02fbfa081a7d46d-dcba-4e3c-9c27-fcb34da7b13d.jpg,Selangor,,Shoes,OPEN,2024-02-01T09:47,,,de7c01a8-0dc0-424c-8481-fee6130455c00ecef953-7013-4d76-b12b-636e9c2eceda.jpg,,,,
67,Nike_Af1_Paranoise_2_dot_0,Nike-Af1-Paranoise-2-dot-0,1100,"UK 8.5, Condition preowned",a2b73cdd-b940-47e3-9210-6b9353849eb93cc11a8f-086f-4586-ae91-1b6a5eea3240.jpg,Selangor,,Shoes,OPEN,2024-03-31T10:00,,,fe33cdb1-84c6-4773-ab47-c7a44aa04f385b33bf1c-f4ef-40cd-8cb4-33d101724482.jpg,,,,
68,Nike_SB_Abstract_Art,Nike-SB-Abstract-Art,1001,"UK9.5, Condition Preowned",72a26b9d-6f8c-4bf6-92e8-63e83922a681668c1b2a-32bc-4339-9166-9d98192a6214.jpg,Selangor,,Shoes,OPEN,2024-03-31T10:00,,,695bec3d-c6de-43bb-8b2b-6feb31deb48927e04e72-6b38-4951-be1e-c8d9bdddda34.jpg,,,,
69,Yoyo_vintage_visit_Malaysia_year_1990,Yoyo-vintage-visit-Malaysia-year-1990,30,"Yoyo vintage visit malaysia year 1990 hanya  ada beberapa unit sahaja yang dikeluarkan.yoyo ini dikeluarkan sempena sambutan visit malaysia1990.anda sedang membeli masa lalu bukan.sekadar membeli berdasarkan nilai semata-mata.
(1PCS)
Condition: seperti baru,
Panjang:5.5cm,
Lebar:3.3cm,
Jenis:plastik dan tali,
Berat:anggaran berat100gram,
Hanya menggunakan jnt sahaja untuk urusan penghantaran.pembungkusan akan menggunakan bubble wrapping",605684e1-61df-4af8-b76d-aa445036c71426dfd8de-a5d8-4e8b-9795-21ccb06dec11.jpg,Selangor,,Collection,OPEN,2024-01-29T22:19,,,,,,,
70,Yoyo_Vintage_Visit_Malaysia_year_1990_Blue__and_amp;_Pink,Yoyo-Vintage-Visit-Malaysia-year-1990-Blue--and-amp;-Pink,30,"Yoyo vintage visit malaysia year 1990 hanya  ada beberapa unit sahaja yang dikeluarkan.yoyo ini dikeluarkan sempena sambutan visit malaysia1990.anda sedang membeli masa lalu bukan.sekadar membeli berdasarkan nilai semata-mata.
Condition: seperti baru,
Panjang:5.5cm,
Lebar:3.3cm,
Jenis:plastik dan tali,
Berat:anggaran berat100gram
",0adb23a5-d2ed-4ec9-837b-f4c6ac98b588baad3d71-b687-4a4f-82d0-0088a7953a80.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
71,Yoyo_Vintage_Visit_Malaysia_year_1990_Blue_x_Pink,Yoyo-Vintage-Visit-Malaysia-year-1990-Blue-x-Pink,30,"Yoyo vintage visit malaysia year 1990 hanya  ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. 
Condition: seperti baru, 
Panjang :5.5cm, 
Lebar: 3.3cm, 
Jenis: Plastik dan tali, 
Berat: anggaran berat100gram",9efa0803-41be-408b-b32c-4af2a155971d4d96589d-7146-4b5d-a701-7bf2b838a967.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
72,Yoyo_Vintage_Visit_Malaysia_year_1990_Pink_x_Blue,Yoyo-Vintage-Visit-Malaysia-year-1990-Pink-x-Blue,30,"Yoyo vintage visit malaysia year 1990 hanya  ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. 
Condition: seperti baru, 
Panjang :5.5cm, 
Lebar: 3.3cm, 
Jenis: Plastik dan tali, 
Berat: anggaran berat100gram",6d99299b-f938-4ea0-aab5-ad4398f9ef88b20237db-b05c-4e1f-af62-1c1718a48f07.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
73,Yoyo_vintage_visit_Malaysia_year_1990_Yellow_x_Blue,Yoyo-vintage-visit-Malaysia-year-1990-Yellow-x-Blue,30,"Yoyo vintage visit malaysia year 1990 hanya ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit Malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. Condition: seperti baru, Panjang :5.5cm, Lebar: 3.3cm, Jenis: Plastik dan tali, Berat: anggaran berat100gram",3b38070f-28ef-4843-a95e-27d344d636b71270dbe8-0898-4e18-9fbc-9635352939b6.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
74,Yoyo_Vintage_Visit_Malaysia_year_1990_Red_x_Blue,Yoyo-Vintage-Visit-Malaysia-year-1990-Red-x-Blue,30,"Yoyo vintage visit Malaysia year 1990 hanya ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit Malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. Condition: seperti baru, Panjang: 5.5cm, Lebar: 3.3cm, Jenis: Plastik dan tali, Berat: anggaran berat100gram",65266e4f-94f1-4729-9f7e-1f806614ad7a30b726f9-18af-4a3b-9087-5d441fce0168.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
75,Yoyo_Vintage_Visit_Malaysia_year_1990_Yellow_x_Pink,Yoyo-Vintage-Visit-Malaysia-year-1990-Yellow-x-Pink,30,"Yoyo vintage visit Malaysia year 1990 hanya ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit Malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. Condition: seperti baru, Panjang: 5.5cm, Lebar: 3.3cm, Jenis: Plastik dan tali, Berat: anggaran berat100gram",f61c2ab5-0d9c-47e2-a619-642f56a40e61a368f3d2-a186-4a24-9201-3b2a43e102a0.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
76,Yoyo_Vintage_Visit_Malaysia_year_1990_Pink_x_Orange,Yoyo-Vintage-Visit-Malaysia-year-1990-Pink-x-Orange,30,"Yoyo vintage visit Malaysia year 1990 hanya ada beberapa unit sahaja yang dikeluarkan. yoyo ini dikeluarkan sempena sambutan visit Malaysia1990. Anda sedang membeli masa lalu bukan sekadar membeli berdasarkan nilai semata-mata. Condition: seperti baru, Panjang: 5.5cm, Lebar: 3.3cm, Jenis: Plastik dan tali, Berat: anggaran berat 100gram",4be05fcc-6fd7-4f8e-85f2-d5daba7499b239fcf416-66a4-4d96-be34-ef40dad00b25.jpg,Selangor,,Collection,OPEN,2024-01-29T22:00,,,,,,,
